venditore_piva,nome_offerta,cod_offerta,tipo_prezzo,indice_prezzo,prezzo_energia,unita_energia,quota_fissa_annua,unita_quota,consumo_min,consumo_max,durata_mesi
01244170526,+ CASA UNICA,001686ESVFL00XXES2PC0426DO000000,variabile,12,0.033,€/kWh,144,€/anno,,,indeterminata
01244170526,+ CASA SPECIAL,001686ESVFL00XXES3PC0426DO000000,variabile,12,0.0275,€/kWh,120,€/anno,,,indeterminata
01244170526,POWER FLEX CASA,001686ESVFL00XXPFC0426DO00000000,variabile,12,0.011,€/kWh,78,€/anno,,,indeterminata
01244170526,+ CASA,001686ESVFL00XXPC0426DO000000000,variabile,12,0.044,€/kWh,144,€/anno,,,indeterminata
07894180723,DOMESTICI EE,025665ESVFL02XX3N0POE0DO03025027,variabile,12,,,200,€/anno,0,0,19
05282870657,4G DIRETTO LUCE CONSUMER CASA INDEX RELAX X2,023827ESVFL01XX27UF0COTD0REL00X2,variabile,12,0.025300,€/kWh,132.000000,€/anno,,,12
05282870657,COMEBACK EE CASA,023827ESVFL01XX23_TDE_RETURN____,variabile,12,0.018,€/kWh,117,€/anno,,,12
05282870657,4G RETE LUCE CONSUMER CASA INDEX RELAX X1,023827ESVFL01XX26RT0COTD0REL00X1,variabile,12,0.025300,€/kWh,150.000000,€/anno,,,12
05282870657,4G DIRETTO LUCE CONSUMER CASA INDEX RELAX X1,023827ESVFL01XX27UF0COTD0REL00X1,variabile,12,0.022000,€/kWh,132.000000,€/anno,,,12
05282870657,COMEBACK EE CASA FULL,023827ESVFL01XX23_TDE_RETURN_SDD,variabile,12,0.018,€/kWh,117,€/anno,,,12
05282870657,4G DIRETTO LUCE CONSUMER CASA INDEX RELAX X1,023827ESVFL01XX26UF0COTD0REL00X1,variabile,12,0.022000,€/kWh,132.000000,€/anno,,,12
05282870657,4G RETE LUCE CONSUMER CASA INDEX RELAX X2,023827ESVFL01XX26RT0COTD0REL00X2,variabile,12,0.028600,€/kWh,150.000000,€/anno,,,12
05282870657,4G RETE LUCE CONSUMER CASA INDEX RELAX X1,023827ESVFL01XX27RT0COTD0REL00X1,variabile,12,0.025300,€/kWh,150.000000,€/anno,,,12
05282870657,4G RETE LUCE CONSUMER CASA INDEX RELAX X2,023827ESVFL01XX27RT0COTD0REL00X2,variabile,12,0.028600,€/kWh,150.000000,€/anno,,,12
